id,tanggal,jam,sens1,sens2,sens3,sens4,sens5,sens6,sens7,sens8,sens9,,,,,
24,26-Mar,17:20,23.41,99.9,159.84,868.07,0.961989813,0.674566507,0.471228991,0.996621136,0.595275888,0.773795838,0.07151108,0.978128804,0.776796613,0.528615084
25,26-Mar,17:30,23.41,99.9,111.6,869.47,0.794489877,0.85174581,0.220202441,0.503310462,0.586392589,0.715969853,0.186510049,0.166122198,0.063641637,0.014773152
26,26-Mar,17:40,23.2,99.9,41.64,868.28,0.8274631,0.201996629,0.80134379,0.246536468,0.597331298,0.580207294,0.039903926,0.013508245,0.571097819,0.684469602
27,26-Mar,17:50,23.1,99.9,0,866.6,0.810331897,0.983667986,0.194791689,0.834234471,0.656974335,0.930651005,0.855007665,0.094516051,0.87446082,0.91402196
28,26-Mar,18:00,22.99,99.9,0,866.37,0.972385947,0.937398098,0.295156127,0.104869746,0.591510803,0.276669962,0.998705126,0.902991281,0.348907973,0.925329084
29,26-Mar,18:10,22.89,99.9,0,869.07,0.685432923,0.81884894,0.693101882,0.507308734,0.815620056,0.430526561,0.830107139,0.15355704,0.133275185,0.525323496
30,26-Mar,18:20,22.89,99.9,0,866.94,0.071027688,0.866971231,0.224328777,0.87581945,0.285663515,0.924728262,0.220202112,0.919855327,0.036976476,0.423760107
31,26-Mar,18:30,22.99,99.9,0,869.68,0.395863365,0.395762261,0.801063695,0.329793876,0.407454906,0.621592009,0.007336729,0.845367923,0.068500514,0.22602838
32,26-Mar,18:40,22.99,99.9,0,868.82,0.108418567,0.129451781,0.967404382,0.08709187,0.55586898,0.420813691,0.763923778,0.799496975,0.717850889,0.26493472
33,26-Mar,18:50,23.1,99.9,0,867.05,0.920000788,0.059857568,0.768931116,0.086483426,0.874063544,0.264978064,0.155714192,0.895078505,0.451879251,0.621913624
34,26-Mar,19:00,23.2,99.9,0,869.93,0.558577308,0.978144154,0.287768458,0.614144408,0.115719182,0.604742575,0.982220173,0.089229775,0.394604188,0.619934975
35,26-Mar,19:10,23.2,99.9,0,869.43,0.189499241,0.095844441,0.578891329,0.707687892,0.984578119,0.463799403,0.713238025,0.686142658,0.563416234,0.709410266
36,26-Mar,19:20,23.41,99.9,0,868.56,0.383501787,0.948622349,0.238191747,0.743584846,0.802676845,0.059228648,0.831206878,0.631241476,0.932156661,0.915261628
37,26-Mar,19:30,23.51,99.9,0,868.21,0.688774606,0.142060659,0.83855949,0.771852998,0.166286891,0.014403158,0.058841122,0.461350277,0.787259593,0.313933019
38,26-Mar,19:40,23.51,99.9,0,868.89,0.691308131,0.802244159,0.328060303,0.338213439,0.623531196,0.898693396,0.070288409,0.109765725,0.347375402,0.365566976
39,26-Mar,19:50,23.51,99.9,0,869.57,0.370355267,0.454359512,0.569476439,0.924610469,0.859496312,0.580303782,0.725053954,0.074622888,0.072509043,0.543355256
40,26-Mar,20,23.51,99.9,0,868.22,0.832346828,0.288953964,0.428281058,0.928176669,0.15002206,0.377531495,0.658650912,0.475591489,0.846638443,0.739227715
41,26-Mar,20:10,23.51,99.9,0,869.28,0.337212004,0.987764835,0.945388161,0.193786315,0.263187434,0.937870471,0.318966826,0.362977664,0.006578827,0.737411582
42,26-Mar,20:20,23.41,99.9,0,869.57,0.538977866,0.580665118,0.182941221,0.630821775,0.790070802,0.133842891,0.301762406,0.528256251,0.504598982,0.200535155
43,26-Mar,20:30,23.41,99.9,0,869.23,0.943469366,0.530604134,0.668502829,0.671687973,0.299352019,0.161500429,0.401941522,0.780945974,0.100590538,0.550423701
44,26-Mar,20:40,23.41,99.9,0,868.91,0.963662567,0.363944978,0.414041922,0.498631771,0.557420764,0.427103079,0.127083978,0.876660205,0.714887256,0.321822435
45,26-Mar,20:50,23.51,99.9,0,869.09,0.552004213,0.459158344,0.262041584,0.924914236,0.357345765,0.322335587,0.840347945,0.773628224,0.951804906,0.273296346
46,26-Mar,21:00,23.41,99.9,0,869.17,0.564033527,0.580058707,0.535478444,0.872466756,0.358110456,0.496054506,0.791818439,0.147433612,0.92710261,0.066431755
47,26-Mar,21:10,23.51,99.9,0,868.82,0.390908721,0.044663681,0.769818357,0.272274108,0.895827381,0.856525204,0.366527561,0.736128046,0.48945344,0.110948443
48,26-Mar,21:20,23.61,99.9,0,869.23,0.869414801,0.45435062,0.473842086,0.06950946,0.119669054,0.05726026,0.300718795,0.670613249,0.983592544,0.469551757
49,26-Mar,21:30,23.72,99.9,0,869.48,0.99624469,0.749675064,0.64474949,0.189290776,0.721081218,0.398104276,0.176257815,0.675134497,0.025521855,0.160718796
50,26-Mar,21:40,23.92,99.9,0,869.16,0.637123669,0.413221223,0.163727955,0.839682569,0.642964434,0.769593223,0.259818069,0.550767642,0.556670804,0.833002882
51,26-Mar,21:50,24.03,99.9,0,869.26,0.196995037,0.448598971,0.613400379,0.649001179,0.543147514,0.36301753,0.8952989,0.806107506,0.654417076,0.922252218
52,26-Mar,22:00,24.03,99.9,0,868.66,0.695623354,0.242829461,0.848510147,0.371980139,0.9114727,0.142299284,0.877397817,0.680496371,0.147921938,0.259832271
53,26-Mar,22:10,24.13,99.9,0,869.54,0.590759564,0.074098384,0.001223839,0.988706952,0.863473421,0.854041852,0.245602263,0.92693352,0.083621063,0.629805621
54,26-Mar,22:20,23.92,99.9,0,868.66,0.957108531,0.498065092,0.897955206,0.431533716,0.98445273,0.531401857,0.283126482,0.655414174,0.892410421,0.064866292
55,26-Mar,22:30,23.82,99.9,0,867.48,0.690833519,0.635607262,0.540741932,0.171834132,0.997162813,0.277287461,0.927089883,0.156576327,0.376846362,0.653653797
56,26-Mar,22:40,23.82,99.9,0,869.07,0.649221057,0.25620777,0.05436205,0.248077034,0.9314843,0.846260527,0.989190036,0.419804036,0.057907448,0.11505954
57,26-Mar,22:50,23.51,99.9,0,869.14,0.17794873,0.920855424,0.973081841,0.134063961,0.027631846,0.571539792,0.62295281,0.681899893,0.190775979,0.726573033
58,26-Mar,23:00,23.41,99.9,0,869.25,0.33029327,0.220263547,0.731990305,0.867120535,0.176970255,0.145832847,0.380624608,0.764843256,0.129320944,0.196507794
59,26-Mar,23:10,23.3,99.9,0,869.37,0.287846851,0.391295444,0.500174882,0.548652342,0.579858244,0.877866604,0.976320044,0.272973177,0.633047435,0.087596486
60,26-Mar,23:20,23.2,99.9,0,867.97,0.639804388,0.400055112,0.898343178,0.930285811,0.093763794,0.146200322,0.315972734,0.626030675,0.805251788,0.101423525
61,26-Mar,23:30,23.3,99.9,0,869.49,0.641846111,0.15727204,0.205450135,0.812844151,0.350854201,0.708559285,0.39892238,0.035035711,0.164924011,0.963131303
62,26-Mar,23:40,23.3,99.9,0,868.99,0.247942526,0.041675274,0.489716045,0.797364077,0.565280209,0.801935476,0.377127381,0.968821893,0.256890571,0.417085585
63,26-Mar,23:50,23.3,99.9,0,869.13,0.713085089,0.765082627,0.079821028,0.933419375,0.934000694,0.393352345,0.379501757,0.932794216,0.600820605,0.735205913
64,27-Mar,0:00,23.2,99.9,0,869.03,0.160020813,0.631720057,0.007774598,0.532602528,0.789120478,0.626434849,0.482938573,0.90564763,0.114624553,0.383561182
65,27-Mar,0:10,23.2,99.9,0,868.63,0.643823942,0.840443568,0.222818455,0.766558551,0.4587061,0.159314928,0.800621421,0.133961799,0.163318281,0.598203876
66,27-Mar,0:20,23.1,99.9,0,869.31,0.90377585,0.166479765,0.633963217,0.466107356,0.046397769,0.968359377,0.93939983,0.120417912,0.653107421,0.831304827
67,27-Mar,0:30,23.1,99.9,0,868.38,0.668759501,0.743592569,0.657203166,0.616436284,0.787080921,0.6741917,0.965657932,0.680840943,0.539204883,0.892802936
68,27-Mar,0:40,23.1,99.9,0,868.43,0.528240581,0.271056786,0.825016101,0.751853847,0.642015101,0.127612258,0.96605475,0.24627194,0.74016671,0.483418082
69,27-Mar,0:50,22.99,99.9,0,869.03,0.905834821,0.146042015,0.486626677,0.489464606,0.736554329,0.260758096,0.737513092,0.755800498,0.570262873,0.298538052
70,27-Mar,1:00,22.99,99.9,0,868.13,0.707696713,0.014504058,0.573875881,0.545628179,0.595706982,0.936604222,0.984197211,0.085395781,0.593020787,0.949430893
71,27-Mar,1:10,23.1,99.9,0,868.39,0.007316514,0.136406335,0.624736168,0.540189796,0.660627985,0.742302371,0.708310224,0.512944035,0.880515992,0.50543758
72,27-Mar,1:20,23.2,99.9,0,869.4,0.930579094,0.723564816,0.940617218,0.440214126,0.138010023,0.549601164,0.43004958,0.168512325,0.825449223,0.082101318
73,27-Mar,1:30,23.2,99.9,0,868.71,0.273851678,0.210622521,0.092385678,0.018312751,0.225166563,0.873905841,0.624616742,0.724957813,0.934989439,0.466176121
74,27-Mar,1:40,23.3,99.9,0,869.2,0.429549316,0.785429809,0.130684815,0.608749233,0.149672228,0.659966096,0.557611467,0.218679333,0.427415312,0.052389115
75,27-Mar,1:50,23.3,99.9,0,868.95,0.031707142,0.531594628,0.011066866,0.345003958,0.661105949,0.060421437,0.536266129,0.056016755,0.427541601,0.986594445
76,27-Mar,2:00,23.3,99.9,0,868.76,0.665807727,0.763293874,0.964166124,0.658411709,0.563740154,0.629878897,0.987000366,0.826787027,0.119433891,0.864225883
77,27-Mar,2:10,23.41,99.9,0,868.98,0.264457316,0.281201568,0.667933853,0.449286799,0.761377939,0.52231288,0.944337232,0.608952823,0.071020611,0.740158097
78,27-Mar,2:20,23.41,99.9,0,868.03,0.663010615,0.606952361,0.222798169,0.397852454,0.958275967,0.254476177,0.362384582,0.852283599,0.325651999,0.270102042
79,27-Mar,2:30,23.51,99.9,0,868.99,0.977619783,0.393080303,0.759867269,0.405593198,0.114959383,0.664251028,0.157994995,0.510752873,0.537162965,0.461364559
80,27-Mar,2:40,23.41,99.9,0,868.83,0.859622248,0.419576117,0.659235578,0.34249601,0.729310397,0.190042022,0.858010247,0.78241614,0.716822357,0.435767856
81,27-Mar,2:50,23.3,99.9,0,867.63,0.176438826,0.292333389,0.125235064,0.706953894,0.664542685,0.002094681,0.666548619,0.426646777,0.255236687,0.996954317
82,27-Mar,3:00,23.2,99.9,0,866.77,0.384201018,0.081976322,0.540332266,0.104523407,0.251913521,0.828145309,0.977343102,0.213715122,0.193754829,0.973714101
83,27-Mar,3:10,23.1,99.9,0,868.95,0.931704649,0.032355069,0.906780123,0.920621736,0.91323667,0.482181446,0.815888868,0.366286367,0.459584898,0.332809615
84,27-Mar,3:20,22.99,99.9,0,868.08,0.045242456,0.244265836,0.761685264,0.136864645,0.430991741,0.192046603,0.469944067,0.267673995,0.320941502,0.428242863
85,27-Mar,3:30,22.99,99.9,0,869.29,0.738212069,0.730175829,0.815132238,0.853450878,0.95799205,0.346351781,0.241499636,0.501628074,0.7643007,0.528611981
86,27-Mar,3:40,22.99,99.9,0,869.58,0.559624844,0.930740219,0.801641296,0.437782348,0.33589042,0.804486975,0.689473082,0.138526043,0.94951145,0.05176308
87,27-Mar,3:50,22.99,99.9,0,868.86,0.622213903,0.500436845,0.128674712,0.849764188,0.965341134,0.989119523,0.631999816,0.110022416,0.650943429,0.369229442
88,27-Mar,4:00,23.2,99.9,0,868.8,0.454426121,0.829391997,0.599768722,0.601487709,0.518822091,0.172193929,0.538962693,0.279632962,0.655512383,0.522571455
89,27-Mar,4:10,23.2,99.9,0,869.28,0.469962278,0.098043305,0.394760221,0.038339128,0.84072067,0.848774179,0.788398591,0.844898187,0.964426219,0.61258607
90,27-Mar,4:20,23.2,99.9,0,867.93,0.283767424,0.853595803,0.563723333,0.834180829,0.112430114,0.383274964,0.086648409,0.591921434,0.49389135,0.835872789
91,27-Mar,4:30,23.2,99.9,0,868.92,0.514463525,0.174674672,0.293288996,0.096512317,0.446294974,0.680861725,0.788541845,0.509177493,0.263322002,0.335070609
92,27-Mar,4:40,23.3,99.9,0,869.29,0.876075026,0.945913959,0.883487239,0.389242616,0.326055652,0.55209976,0.570970749,0.523982352,0.127723875,0.373865556
93,27-Mar,4:50,23.3,99.9,0,866.28,0.606419287,0.760365598,0.617240546,0.698266832,0.867981686,0.426553172,0.721903826,0.587112128,0.842317009,0.784097273
94,27-Mar,5:00,23.2,99.9,0,868.42,0.339826658,0.798758747,0.516141088,0.354246493,0.135061695,0.342714879,0.507420494,0.180480542,0.077674642,0.343923832
95,27-Mar,5:10,22.99,99.9,0,866.34,0.218365946,0.935274948,0.711672872,0.242374593,0.471795061,0.40266471,0.598292572,0.678238051,0.005979541,0.594663728
96,27-Mar,5:20,22.99,99.9,0,867.63,0.734808256,0.474852869,0.527652581,0.992343983,0.241852699,0.569912095,0.539980331,0.59526298,0.789667358,0.322773208
97,27-Mar,5:30,22.89,99.9,0,867.9,0.92112443,0.536742188,0.996239382,0.902232916,0.22590396,0.197661744,0.980668641,0.147105137,0.096741089,0.718893325
98,27-Mar,5:40,22.79,99.9,70.76,867.66,0.795428527,0.348382742,0.092383673,0.349138409,0.710058303,0.405191257,0.593878548,0.54362112,0.997421721,0.874728108
99,27-Mar,5:50,22.79,99.9,291.84,868.95,0.743624594,0.840078729,0.816544002,0.301928534,0.826685666,0.44799715,0.200151932,0.725473752,0.413224645,0.760160302
100,27-Mar,6:00,22.79,99.9,648.32,868.91,0.936971115,0.9492352,0.559513426,0.915800842,0.017737618,0.528986005,0.391345812,0.166940849,0.065301509,0.433993079
101,27-Mar,6:10,22.89,99.9,1292.8,869.17,0.92865036,0.180227513,0.671277417,0.752050277,0.797035224,0.845490867,0.768286875,0.870889137,0.183314054,0.668445623
102,27-Mar,6:20,22.99,99.9,1831.68,869.25,0.835551345,0.721642662,0.789981299,0.970184424,0.884064481,0.518407383,0.453925999,0.62491076,0.199023018,0.137319526
103,27-Mar,6:30,23.2,99.9,226.77,868.93,0.347013803,0.324856715,0.409058449,0.753031958,0.51490884,0.817489551,0.666796193,0.84537928,0.451769556,0.336512998
104,27-Mar,6:40,23.3,99.9,3018.24,869.15,0.183704345,0.798916354,0.837299169,0.712420099,0.865261019,0.644528874,0.188622036,0.897783912,0.727871205,0.371271011
105,27-Mar,6:50,23.51,99.9,3663.36,868.18,0.845287163,0.692646455,0.432652168,0.402939968,0.608793879,0.777348831,0.181268193,0.902485704,0.932547805,0.709709368
106,27-Mar,7:00,23.72,99.9,4400.64,869.01,0.141034103,0.435476991,0.395968871,0.467539291,0.251762098,0.531767364,0.171523897,0.591679706,0.157848721,0.871797453
107,27-Mar,7:10,24.03,99.9,5114.88,869.19,0.907962477,0.931771286,0.438349458,0.741890778,0.088704897,0.135577363,0.689050077,0.69872513,0.079257609,0.963982413
108,27-Mar,7:20,24.24,99.9,5783.04,869.4,0.19393927,0.794490536,0.215213645,0.564326616,0.734927486,0.270033159,0.646820087,0.930757082,0.960800057,0.178680454
109,27-Mar,7:30,24.55,99.9,7142.4,869.56,0.805681829,0.350956504,0.406882116,0.780800925,0.266850892,0.279746095,0.619881207,0.468339884,0.745534147,0.617371896
110,27-Mar,7:40,25.06,96.6,7971.84,869.33,0.676648844,0.245655949,0.603605309,0.439236844,0.303793498,0.974729155,0.319446135,0.719091989,0.901893678,0.438814996
111,27-Mar,7:50,25.37,98.4,7925.76,869.38,0.037094452,0.490386482,0.718218642,0.392038911,0.412353166,0.569349343,0.924826802,0.263839123,0.73134433,0.703273632
112,27-Mar,8:00,25.58,98.2,8939.52,869.11,0.624271094,0.266127392,0.113239516,0.631605311,0.220775765,0.834876263,0.972974501,0.973562186,0.719838342,0.390333611
113,27-Mar,8:10,25.89,95,10347.52,868.5,0.624730686,0.920372121,0.770602295,0.896401583,0.491422496,0.920950972,0.793245393,0.392849853,0.392368319,0.406325121
114,27-Mar,8:20,26.2,92.8,33525.76,869.13,0.139564701,0.979698087,0.854219696,0.92873616,0.747200499,0.602966019,0.139916444,0.299871892,0.97149772,0.384504582
115,27-Mar,8:30,26.61,91.3,17981.44,869.06,0.662300813,0.840392595,0.325050493,0.111095114,0.811158724,0.856382654,0.390283893,0.870681094,0.058455258,0.144209081
116,27-Mar,8:40,27.03,91,23797.76,869.01,0.618215851,0.086448124,0.113964044,0.744819273,0.929816688,0.908423051,0.512500099,0.657960344,0.12513017,0.520117029
117,27-Mar,8:50,27.44,89.7,19630.08,869.26,0.543496718,0.363592696,0.55550487,0.306887151,0.714786201,0.615628337,0.087752471,0.970846958,0.769641426,0.157875817
118,27-Mar,9:00,27.75,89.1,41349.13,869.01,0.458884762,0.970087562,0.367132366,0.930129287,0.035206991,0.084114679,0.835883673,0.420814173,0.010103047,0.598161865
119,27-Mar,9:10,28.68,85,39239.68,869.77,0.088803885,0.615751549,0.604066131,0.312313163,0.653931464,0.497394197,0.521609557,0.317279329,0.522777203,0.757750459
120,27-Mar,9:20,29.41,84.1,12994.56,868.32,0.844453951,0.353000725,0.818115216,0.176181729,0.468994958,0.823904162,0.122549118,0.883204963,0.305898776,0.03161588
121,27-Mar,9:30,29.2,80.7,32808.96,868.64,0.137672415,0.698113801,0.827203473,0.252593379,0.001195711,0.457752612,0.998596411,0.157168342,0.725881003,0.427250265
122,27-Mar,9:40,29.72,79.6,77250.55,868.92,0.376654495,0.94709758,0.352110376,0.782752209,0.241346698,0.885637175,0.016390991,0.813567335,0.855305732,0.541750972
123,27-Mar,9:50,29.93,77.8,46039.04,869.66,0.841523235,0.426495386,0.320832836,0.595476207,0.861212358,0.064705198,0.930935284,0.390411912,0.418936167,0.689102669
124,27-Mar,10,29.51,79.7,16220.16,869.44,0.932848665,0.917505846,0.117897157,0.217025314,0.770345596,0.347013465,0.376934364,0.308825775,0.634547928,0.662453483
125,27-Mar,10:10,29.61,79,54886.39,870.19,0.871369087,0.92260471,0.955123837,0.936208809,0.633521629,0.056109526,0.529171338,0.137154594,0.055960643,0.388803278
126,27-Mar,10:20,29.3,80.1,21442.56,869.95,0.20896824,0.510848098,0.196441808,0.25228784,0.083807535,0.726779117,0.223877856,0.798038681,0.451540856,0.346441416
127,27-Mar,10:30,29.61,79.8,23582.72,869.91,0.000892677,0.262337417,0.700011963,0.402960896,0.475237886,0.856579281,0.166878882,0.529453802,0.224531439,0.933001968
128,27-Mar,10:40,29.61,80.4,59187.2,868.37,0.877307987,0.824541034,0.262477785,0.510908488,0.255043241,0.075335976,0.577975317,0.022417836,0.453825757,0.118775238
129,27-Mar,10:50,30.13,79.9,63119.36,869.24,0.116914723,0.038993518,0.065177254,0.583774727,0.547002294,0.167780299,0.352488014,0.353449958,0.68457374,0.916025135
130,27-Mar,11:00,29.82,79.5,7930.88,868.71,0.978900419,0.665906904,0.937163707,0.168065268,0.181934203,0.541346365,0.844333819,0.822327355,0.839145237,0.11295031
131,27-Mar,11:10,29.3,82.7,16824.32,869.41,0.22785678,0.079419522,0.590241729,0.085030662,0.203864207,0.624041975,0.800292968,0.590377141,0.97139793,0.353710533
132,27-Mar,11:20,28.68,84.7,18268.16,869.61,0.285205799,0.956221655,0.710671652,0.090779533,0.256375136,0.938424833,0.480573481,0.446467618,0.115089841,0.3635219
133,27-Mar,11:30,28.99,84.1,12554.24,870.42,0.747567438,0.494196327,0.117834288,0.291446514,0.837061349,0.577756957,0.152090052,0.545868095,0.101933596,0.436196637
134,27-Mar,11:40,29.2,82.4,8995.84,872.1,0.891226726,0.138909585,0.857373405,0.61248717,0.335209014,0.603984588,0.880844751,0.690601922,0.318418894,0.516116317
135,27-Mar,11:50,26.72,96.7,11596.8,869.79,0.963177182,0.649659721,0.339525751,0.169612811,0.89894105,0.822005991,0.241309304,0.034773833,0.638775288,0.095530128
136,27-Mar,12:00,25.99,95.1,8320,869.67,0.160513085,0.859935549,0.087652156,0.461629308,0.008314958,0.158325484,0.399033129,0.548455042,0.110511055,0.287303218
137,27-Mar,12:10,26.1,95.1,10705.92,869.47,0.287530182,0.004549953,0.87285896,0.127697474,0.178212559,0.120219847,0.458550415,0.821825858,0.808880444,0.376255222
138,27-Mar,12:20,25.99,93.3,6205.44,868.88,0.003274633,0.756581676,0.960055433,0.600448498,0.983476617,0.003480314,0.6701527,0.866848137,0.104415169,0.733673292
139,27-Mar,12:30,25.79,91,3801.6,869.4,0.708439442,0.103249538,0.450026751,0.674334506,0.338968868,0.638910995,0.809988703,0.24809205,0.269251948,0.995534802
140,27-Mar,12:40,25.17,92.9,1177.6,868.25,0.143098288,0.166445645,0.395553125,0.383569994,0.092518428,0.229021771,0.903676374,0.468381952,0.695877698,0.33859253
141,27-Mar,12:50,24.55,98.7,2073.6,869.69,0.907040123,0.846902946,0.637487168,0.470321172,0.167442637,0.472190079,0.654560982,0.805208471,0.361900333,0.617422275
142,27-Mar,13:00,24.34,99.9,2659.84,869.31,0.507570848,0.207927466,0.573307933,0.746223468,0.298390773,0.666942064,0.244130341,0.221246446,0.778282855,0.699598743
143,27-Mar,13:10,23.92,99.9,2721.28,869.07,0.086442961,0.432283579,0.669590068,0.297939287,0.891881913,0.275428826,0.354033654,0.420527258,0.35038012,0.591306767
144,27-Mar,13:20,24.03,99.9,2649.6,869.43,0.309191734,0.154425682,0.867689981,0.22685765,0.362392712,0.842027772,0.61096898,0.273767673,0.898610837,0.969770969
145,27-Mar,13:30,24.03,99.9,3018.24,869.24,0.191740925,0.443049282,0.739794935,0.261084723,0.467294183,0.989404808,0.767665028,0.586376897,0.975616717,0.311976034
146,27-Mar,13:40,24.03,99.9,3663.36,869.13,0.380192878,0.244483219,0.324186607,0.212411344,0.827918936,0.747515766,0.354193807,0.686336357,0.048529145,0.302761665
147,27-Mar,13:50,24.13,99.9,4746.24,867.39,0.472402541,0.877115554,0.623800999,0.997962646,0.710776186,0.039053323,0.462099348,0.285536106,0.025975666,0.109979937
148,27-Mar,14:00,24.24,99.9,4769.28,869.2,0.415771341,0.326290765,0.135000719,0.95937217,0.508734723,0.533804935,0.204587594,0.962496106,0.212719896,0.869067257
149,27-Mar,14:10,24.34,99.9,4423.68,869.57,0.38849172,0.756957624,0.156351352,0.763659492,0.349154842,0.618415907,0.960660309,0.647248238,0.222667421,0.435197895
150,27-Mar,14:20,24.44,99.9,4423.68,868.72,0.762370497,0.08047823,0.186058571,0.427487792,0.118802476,0.875012331,0.415900074,0.960964737,0.50458328,0.065777994
151,27-Mar,14:30,24.55,99.9,3645.44,868.24,0.723963335,0.277600805,0.811451566,0.330845658,0.460920058,0.980091438,0.266488567,0.671680199,0.399966348,0.502076943
152,27-Mar,14:40,24.65,99.9,4364.8,868.8,0.282850479,0.767229748,0.683389918,0.667924828,0.894995047,0.901479962,0.134671075,0.750894468,0.01862068,0.809525095
153,27-Mar,14:50,24.65,99.9,4999.68,869.1,0.121770122,0.216088757,0.120914334,0.804896289,0.372141923,0.053245921,0.589767842,0.544822261,0.779849861,0.564594303
154,27-Mar,15:00,24.55,99.9,4180.48,869.06,0.093722816,0.281774251,0.595908794,0.445761722,0.391420174,0.088797883,0.021536577,0.270640987,0.937740268,0.590621532
155,27-Mar,15:10,24.75,99.9,3261.44,869.61,0.42036732,0.106614843,0.801577518,0.675282076,0.318205509,0.114118496,0.59736165,0.177481837,0.503038757,0.962075215
156,27-Mar,15:20,24.65,99.9,2612.48,869.55,0.59749857,0.877135887,0.079368312,0.568971745,0.306679676,0.539695265,0.878099528,0.516522934,0.269060634,0.104021395
157,27-Mar,15:30,24.55,99.9,2361.6,869.52,0.146177565,0.773828822,0.721177429,0.439140779,0.573673709,0.736406445,0.929890936,0.683761392,0.542905521,0.321465925
158,27-Mar,15:40,24.55,99.9,2292.48,869.26,0.34138296,0.137955319,0.04022124,0.44894982,0.876718821,0.072554898,0.798823614,0.66491589,0.659719367,0.172309559
